"SÜRE","TEDARİKÇİ","NO","KARIŞIM ORANI","EN","PARÇA GRAMAJ","PARÇA NEMİ (%)","ISI ÇEKME EN","ISI ÇEKME BOY","GENEL EN","GENEL  BOY","ORTAM SICAKLIK","ORTAM NEM","ZAMAN"
"26 saat sonra ","GÖK","30/1","100%","194.4","159","16","50.3","49.6","51","48.8","20.9","59.6","13-12-22/11:00:13 "
"28 saat sonra ","GÖK","30/1","100%","194.4","159","17","50.2","49.6","51","48.7","20.9","62.2","13-12-22/13:00:13 "
"30 saat sonra ","GÖK","30/1","100%","194.4","158","17","50.1","49.4","51.2","48.7","21.4","62.5","13-12-22/15:00:13 "
"32 saat sonra ","GÖK","30/1","100%","194.4","158","17","50.3","49.6","51.3","48.7","21.6","63.1","13-12-22/17:00:13 "
"48 saat sonra ","GÖK","30/1","100%","194.5","155","17","50.4","50.1","51.5","48.7","19.9","50.5","14-12-22/09:00:13 "
"50 saat sonra ","GÖK","30/1","100%","194.5","158","17","50.5","50.1","51.5","48.7","20.4","48.6","14-12-22/11:00:13 "
"52 saat sonra ","GÖK","30/1","100%","194.5","158","17","50.6","50.1","51.5","48.7","19.9","51.5","14-12-22/13:00:13 "
"54 saat sonra ","GÖK","30/1","100%","194.5","159","17","50.4","49.5","51.6","48.7","20.6","52.8","14-12-22/15:00:13 "
"56 saat sonra ","GÖK","30/1","100%","194.5","159","17","50.5","49.8","51.6","48.7","20.6","55.8","14-12-22/17:00:13 "
"72 saat sonra ","GÖK","30/1","100%","194.5","163","17","50.3","49.7","51.6","48.5","20.4","55.7","15-12-22/09:00:13 "
"Başlangıç","GÖK","30/1","100%","182","149","5","51.6","49.3","50","50","20.2","50.6","19-12-22/09:00:10 "
"2 saat sonra ","GÖK","30/1","100%","182.5","150","6","52","50","50.5","49.9","20.3","45.4","19-12-22/11:00:10 "
"4 saat sonra ","GÖK","30/1","100%","182.6","150","5","51.5","49.6","50.5","49.9","20.0","43.7","19-12-22/13:00:10 "
"6 saat sonra ","GÖK","30/1","100%","182.8","156","5","51.7","49.4","50.6","49.5","20.3","41.3","19-12-22/15:00:10 "
"8 saat sonra ","GÖK","30/1","100%","183","156","4","51.6","49.7","50.7","50","19.8","40.5","19-12-22/17:00:10 "
"24 saat sonra ","GÖK","30/1","100%","184.5","160","4","52.1","49.9","51.2","50","17.9","31.3","20-12-22/09:00:10 "
"26 saat sonra ","GÖK","30/1","100%","184.7","161","4","52","50","51.2","50","18.5","30.4","20-12-22/11:00:10 "
"28 saat sonra ","GÖK","30/1","100%","184.7","162","4","51.5","49.2","51.3","50","18.3","30.3","20-12-22/13:00:10 "
"30 saat sonra ","GÖK","30/1","100%","184.8","163","4","52","49.5","51.2","50","19.0","30.0","20-12-22/15:00:10 "
"32 saat sonra ","GÖK","30/1","100%","184.8","165","4","51.7","49.1","51.4","50","18.8","30.3","20-12-22/17:00:10 "
"48 saat sonra ","GÖK","30/1","100%","187.2","165","4","51.1","49.5","51.6","50","18.2","24.4","21-12-22/09:00:10 "
"50 saat sonra ","GÖK","30/1","100%","187.4","167","4","51.5","49.4","51.7","50","18.2","24.2","21-12-22/11:00:10 "
"52 saat sonra ","GÖK","30/1","100%","187.5","167","4","51.4","49.5","51.7","50","18.0","23.1","21-12-22/13:00:10 "
"54 saat sonra ","GÖK","30/1","100%","187.6","167","4","52","50","51.7","50","19.4","23.9","21-12-22/15:00:10 "
"56 saat sonra ","GÖK","30/1","100%","187.6","167","4","51.4","49.8","51.7","50","19.4","25.0","21-12-22/17:00:10 "
"72 saat sonra ","GÖK","30/1","100%","188.2","168","4","51.6","49.1","51.8","50","18.6","29.0","22-12-22/09:00:10 "
"Başlangıç","GÖK","30/1","100%","186.6","147","0","50.8","50.3","50","50","17.7","34.2","02-01-23/09:04:23 "
"2 saat sonra ","GÖK","30/1","100%","187","148","3","51.3","49.5","50.5","49.5","17.9","38.3","02-01-23/11:04:23 "
"4 saat sonra ","GÖK","30/1","100%","187.3","149","3","50.9","50.2","50.5","49.5","17.5","41.6","02-01-23/13:04:23 "
"6 saat sonra ","GÖK","30/1","100%","187.6","146","3","50.9","50.1","50.5","49.5","18.2","37.1","02-01-23/15:04:23 "
"8 saat sonra ","GÖK","30/1","100%","187.7","144","3","51.1","50.1","50.6","49.5","18.6","45.7","02-01-23/17:04:23 "
"24 saat sonra ","GÖK","30/1","100%","189.2","144","5","51.1","49.4","51.1","49.3","17.0","33.3","03-01-23/09:04:23 "
"26 saat sonra ","GÖK","30/1","100%","189.4","149","5","51.3","49.6","51.4","49.3","17.8","39.7","03-01-23/11:04:23 "
"28 saat sonra ","GÖK","30/1","100%","189.7","149","6","51.4","49.7","51.4","49.3","18.5","40.5","03-01-23/13:04:23 "
"30 saat sonra ","GÖK","30/1","100%","189.8","148","6","50.5","49.6","51.5","49.3","19.0","35.2","03-01-23/15:04:23 "
"32 saat sonra ","GÖK","30/1","100%","189.8","142","6","50.7","49.7","51.5","49.3","18.7","38.0","03-01-23/17:04:23 "
"48 saat sonra ","GÖK","30/1","100%","190.5","149","6","50.8","50.1","52","49.3","18.1","30.7","04-01-23/09:04:23 "
"50 saat sonra ","GÖK","30/1","100%","190.6","144","6","51.4","49.5","52","49.3","19.0","36.0","04-01-23/11:04:23 "
"52 saat sonra ","GÖK","30/1","100%","190.8","140","6","50.9","49.5","52","49.3","18.7","33.4","04-01-23/13:04:23 "
"54 saat sonra ","GÖK","30/1","100%","190.5","148","6","50.8","50.2","52","49.3","18.3","33.1","04-01-23/15:04:23 "
"56 saat sonra ","GÖK","30/1","100%","190.9","145","6","51.2","50.1","52","49.3","18.6","39.5","04-01-23/17:04:23 "
"72 saat sonra ","GÖK","30/1","100%","191.6","150","6","50.9","50.1","52.1","49.3","19.2","41.3","05-01-23/09:04:23 "
"Başlangıç","GÖK","30/1","100%","182.5","144","3","50.3","49.6","50","50","14.2","42.9","16-01-23/09:00:15 "
"2 saat sonra ","GÖK","30/1","100%","182.7","144","4","49.5","49.8","50.1","49.9","17.5","43.1","16-01-23/11:00:15 "
"4 saat sonra ","GÖK","30/1","100%","182.8","144","4","49.7","49.8","50.1","49.8","18.6","45.3","16-01-23/13:00:15 "
"6 saat sonra ","GÖK","30/1","100%","182.8","144","4","50.2","49.7","50","49.8","18.6","48.4","16-01-23/15:00:15 "
"8 saat sonra ","GÖK","30/1","100%","183","145","4","50.4","49.8","50","49.8","18.5","48.8","16-01-23/17:00:15 "
"24 saat sonra ","GÖK","30/1","100%","183.6","146","4","49.8","49.7","49.8","49.7","17.3","57.5","17-01-23/09:00:15 "
"26 saat sonra ","GÖK","30/1","100%","183.7","148","4","49.5","49.8","49.7","49.7","17.6","59.8","17-01-23/11:00:15 "
"28 saat sonra ","GÖK","30/1","100%","183.7","149","4","50.1","49.7","49.7","49.7","17.5","62.3","17-01-23/13:00:15 "
"30 saat sonra ","GÖK","30/1","100%","183.7","149","4","50.2","49.7","49.7","49.7","17.9","57.2","17-01-23/15:00:15 "
